Category: All categories

Month,CS44N: (United States),CS46N: (United States),CS47: (United States),CS49N: (United States),CS50: (United States)
2019-02,0,0,0,0,21
2019-03,0,0,1,0,14
2019-04,0,0,1,0,16
2019-05,0,0,0,0,16
2019-06,0,0,0,0,24
2019-07,0,0,0,0,25
2019-08,0,0,0,0,13
2019-09,0,0,0,0,29
2019-10,0,0,0,0,29
2019-11,0,0,0,0,22
2019-12,0,0,0,0,24
2020-01,0,0,0,0,26
2020-02,0,0,0,0,20
2020-03,0,0,0,0,28
2020-04,0,0,0,0,46
2020-05,0,0,0,0,44
2020-06,0,0,1,0,42
2020-07,0,0,0,0,43
2020-08,0,0,0,0,35
2020-09,0,0,0,0,33
2020-10,0,0,0,0,21
2020-11,0,0,0,0,18
2020-12,0,0,0,0,26
2021-01,0,0,0,0,24
2021-02,0,0,0,0,14
2021-03,0,0,0,0,14
2021-04,0,0,0,0,16
2021-05,0,0,0,0,16
2021-06,0,0,0,0,15
2021-07,0,0,0,0,17
2021-08,0,0,0,0,15
2021-09,0,0,0,0,23
2021-10,0,0,0,0,26
2021-11,0,0,0,0,24
2021-12,0,0,0,0,33
2022-01,0,0,0,0,27
